j,t,value
Heavy Industry and Manufacturing,1,2.3060921624075803
Heavy Industry and Manufacturing,2,2.2942185037173157
Heavy Industry and Manufacturing,3,2.2828295464624837
Heavy Industry and Manufacturing,4,2.271906563732884
Heavy Industry and Manufacturing,5,2.2614312175513573
Heavy Industry and Manufacturing,6,2.251385613173995
Heavy Industry and Manufacturing,7,2.2417523402736172
Heavy Industry and Manufacturing,8,2.232514503085703
Heavy Industry and Manufacturing,9,2.22365574129062
Heavy Industry and Manufacturing,10,2.215160243196035
Primary and Light Industry,1,1.879499043256705
Primary and Light Industry,2,1.893533102371392
Primary and Light Industry,3,1.9064980874546222
Primary and Light Industry,4,1.918463219869504
Primary and Light Industry,5,1.9294940141904915
Primary and Light Industry,6,1.9396523773847374
Primary and Light Industry,7,1.9489967235314376
Primary and Light Industry,8,1.9575820996001525
Primary and Light Industry,9,1.9654603186302522
Primary and Light Industry,10,1.9726800974930514
Social and Professional Services,1,2.163869517163275
Social and Professional Services,2,2.1548931260517046
Social and Professional Services,3,2.146519982785855
Social and Professional Services,4,2.13870232315172
Social and Professional Services,5,2.1313967638828757
Social and Professional Services,6,2.124563832205295
Social and Professional Services,7,2.1181675555159263
Social and Professional Services,8,2.1121751020284796
Social and Professional Services,9,2.1065564648460766
Social and Professional Services,10,2.101284183248997
Trade and Finance,1,2.234277422636488
Trade and Finance,2,2.2236398666827473
Trade and Finance,3,2.2135577467344403
Trade and Finance,4,2.2040002591822816
Trade and Finance,5,2.194938140217695
Trade and Finance,6,2.186343637752164
Trade and Finance,7,2.1781904725445944
Trade and Finance,8,2.170453791445226
Trade and Finance,9,2.16311011510788
Trade and Finance,10,2.156137282059478
Utilities and Transport,1,2.231275073829053
Utilities and Transport,2,2.2174358630210778
Utilities and Transport,3,2.2047499714476837
Utilities and Transport,4,2.1930942836507317
Utilities and Transport,5,2.1823613450382195
Utilities and Transport,6,2.1724570613294025
Utilities and Transport,7,2.1632987841905704
Utilities and Transport,8,2.1548137094400843
Utilities and Transport,9,2.1469375301837346
Utilities and Transport,10,2.139613298818488
